,,,uid,,,,park,
user,user,0,1287,1287,und,0,Riverside Gardens MHP LLC,NULL
user,user,0,1291,1291,und,0,Gray`s Mobile Home Park,NULL
user,user,0,1293,1293,und,0,Whispering Pines RV Park,NULL
user,user,0,1294,1294,und,0,Springwood of Beaverton,NULL
user,user,0,1295,1295,und,0,MYRA LYNNE MANUFACTURED HOUSING COMMUNITY,NULL
user,user,0,1302,1302,und,0,LOCUST MOBILE VILLAGE,NULL
user,user,0,1305,1305,und,0,Greenway,NULL
user,user,0,1306,1306,und,0,Rogue Valley South,NULL
user,user,0,1307,1307,und,0,Myra Lynne MHC,NULL
user,user,0,1308,1308,und,0,Azalea gardens,NULL
user,user,0,1309,1309,und,0,Lilly Court,NULL
user,user,0,1319,1319,und,0,Westlake Village MHP,NULL
user,user,0,1327,1327,und,0,First Commercial Properties,NULL
user,user,0,1332,1332,und,0,Bavarian Village Mobile Home Park,NULL
user,user,0,1334,1334,und,0,Walker Park,NULL
user,user,0,1338,1338,und,0,Alder Manor MHC LLC,NULL
user,user,0,1342,1342,und,0,Hayden Island MHC ,NULL
user,user,0,1352,1352,und,0,Wiard Street Mobile Home Park,NULL
user,user,0,1354,1354,und,0,Colliers International ,NULL
user,user,0,1356,1356,und,0,Royal Oaks Estates,NULL
user,user,0,1362,1362,und,0,BellAcres LLC dba BellAcres Mobile Estates,NULL
user,user,0,1363,1363,und,0,Hope Street Mobile Home Park,NULL
user,user,0,1367,1367,und,0,Crossroads Mobile Home Park,NULL
user,user,0,1382,1382,und,0,Lakeshore RV Park,NULL
user,user,0,1404,1404,und,0,Mt. View Mobile Park,NULL
user,user,0,1406,1406,und,0,West Winds Park,NULL
user,user,0,1412,1412,und,0,Davis Wright Tremaine,NULL
user,user,0,1417,1417,und,0,Western Carriage Estates,NULL
user,user,0,1426,1426,und,0,Two Rivers Homeowner's Co-Op,NULL
user,user,0,1475,1475,und,0,Holly Tree Mobile Home Park,NULL
user,user,0,1476,1476,und,0,Mt.View Mobile Estates,NULL
user,user,0,1506,1506,und,0,Shore Terrace Estates,NULL
user,user,0,1509,1509,und,0,Hayden Island MHC,NULL
user,user,0,1524,1524,und,0,"Country Mobile Estates, LLC",NULL
user,user,0,1531,1531,und,0,Trask River Mobile Home Park,NULL
user,user,0,1532,1532,und,0,SongBrook ,NULL
